,,
,*Part 1: Description,
,Room name english,Single standard room
,Room description english,These rooms are well furnished with every also offer a view of all the volcanoes especially Muhabura and Gahinga.
,Rooom name french,
,Room description french,"Ces chambres se trouvent dans l'etage de l'hotel. Elles offrent une vue des collines du District de                   Musanze. A travers les fenetres ou que tu sois meme a l'exterieur, ces chambres offrent une vue des volcans particulierement Muhabura et Gahinga."
,,
,**Part 2: Information,
,Quantity,14
,Price,65
,Max adults,0
,,
,***Part 3: Tags,
,+Tag::RoomTag::FacilityTag,
,Personal safe,
,Interior bathroom,x
,Hot water,
,Handicapped accessible,
,Air conditioned,
,Heated rooms,
,Television,x
,Interior office space,x
,Telephone,x
,+Tag::RoomTag::FoodDrinkTag,
,Breakfast included,x
,Refrigerator,
,Minibar,
,Room service,
,Kitchen in room,
,Barbeque/brai access,
,+Tag::RoomTag::ViewTag,
,Terrace,
,Street view,
,Beach view,
,Nature view,x
,City view,
,+Tag::RoomTag::InternetTag,
,Free wifi,x
,Paid wifi,
,No wifi,
